City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Zdvinsk,RU,2022-04-30 20:12:51,54.7021,78.661,51.22,70,100,15.37
201,Sao Joao Da Barra,BR,2022-04-30 20:05:53,-21.6403,-41.0511,77.09,79,12,11.07
202,Flin Flon,CA,2022-04-30 20:09:07,54.7682,-101.865,49.86,77,100,0.63
203,Maarianhamina,AX,2022-04-30 20:12:51,60.0973,19.9348,33.66,93,0,1.14
204,Provideniya,RU,2022-04-30 20:12:52,64.3833,-173.3,30.7,91,100,15.73
205,North Bend,US,2022-04-30 20:12:52,43.4065,-124.2243,55.92,85,100,14.97
206,Shymkent,KZ,2022-04-30 20:12:52,42.3,69.6,63.19,77,0,4.47
207,George,ZA,2022-04-30 20:12:53,-33.963,22.4617,57.16,78,7,4.14
208,Venice,US,2022-04-30 20:12:53,27.0998,-82.4543,81.99,74,20,9.22
209,Nouadhibou,MR,2022-04-30 20:12:54,20.931,-17.0347,65.32,85,98,25.39
210,Aripuana,BR,2022-04-30 20:12:54,-9.1667,-60.6333,81.72,71,100,0.56
211,Kihei,US,2022-04-30 20:12:54,20.785,-156.4656,78.82,74,40,18.41
212,Marsa Matruh,EG,2022-04-30 20:07:14,31.3525,27.2453,66.06,76,55,8.9
213,Namatanai,PG,2022-04-30 20:12:55,-3.6667,152.4333,78.31,83,78,3.04
214,Tual,ID,2022-04-30 20:12:55,-5.6667,132.75,83.73,74,99,15.55
215,Senneterre,CA,2022-04-30 20:12:56,48.3835,-77.2328,52.45,40,21,7.83
216,Sinnamary,GF,2022-04-30 20:02:58,5.3833,-52.95,82.27,72,46,9.33
217,Hasaki,JP,2022-04-30 20:03:43,35.7333,140.8333,45.0,61,100,10.38
218,Jalu,LY,2022-04-30 20:12:56,29.0331,21.5482,80.06,19,4,8.57
219,Beringovskiy,RU,2022-04-30 20:12:57,63.05,179.3167,24.85,92,100,17.81
220,Harper,LR,2022-04-30 20:09:23,4.375,-7.7169,81.01,79,100,7.61
221,Winslow,US,2022-04-30 20:12:57,35.0242,-110.6974,71.78,9,0,4.61
222,Coruripe,BR,2022-04-30 20:12:57,-10.1256,-36.1756,78.26,75,100,8.01
223,Antofagasta,CL,2022-04-30 20:12:58,-23.65,-70.4,61.88,75,28,10.65
224,Paamiut,GL,2022-04-30 20:12:58,61.994,-49.6678,33.01,93,77,14.52
225,Menongue,AO,2022-04-30 20:12:59,-14.6585,17.691,61.2,57,7,3.98
226,Wewak,PG,2022-04-30 20:12:59,-3.5534,143.6268,76.71,88,100,6.69
227,Mount Gambier,AU,2022-04-30 20:12:59,-37.8333,140.7667,55.31,100,75,11.5
228,Tigil,RU,2022-04-30 20:13:00,57.8,158.6667,26.82,96,94,1.79
229,Manokwari,ID,2022-04-30 20:13:00,-0.8667,134.0833,77.23,86,100,5.77
