City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Rawson,AR,-43.3002,-65.1023,50.32,65,100,11.18,overcast clouds
135,Puqi,CN,29.7167,113.8833,70.59,49,92,3.09,overcast clouds
136,Malaut,IN,30.2167,74.4833,95.13,22,1,12.26,clear sky
137,Zyryanovsk,KZ,49.7386,84.2719,60.87,41,100,5.46,overcast clouds
138,Lincoln,US,40.8,-96.667,54.9,68,0,9.22,clear sky
139,East London,ZA,-33.0153,27.9116,59.99,75,0,5.66,clear sky
140,Georgetown,MY,5.4112,100.3354,84.13,79,20,0.0,few clouds
141,Avarua,CK,-21.2078,-159.775,82.45,74,20,4.61,few clouds
142,Cidreira,BR,-30.1811,-50.2056,63.28,76,100,7.34,overcast clouds
143,Timra,SE,62.487,17.3257,31.68,93,40,3.44,scattered clouds
144,Northampton,US,40.8754,-75.2499,55.9,84,100,2.08,overcast clouds
145,Kahului,US,20.8947,-156.47,77.02,79,75,20.71,light rain
146,Tautira,PF,-17.7333,-149.15,79.81,72,92,6.17,light rain
147,Kutum,SD,14.2,24.6667,75.65,11,47,5.84,scattered clouds
148,Marienburg,PL,54.0359,19.0266,41.88,89,11,3.09,few clouds
149,Kupang,ID,-10.1667,123.5833,88.34,57,69,10.02,broken clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,50.88,68,100,8.99,overcast clouds
151,Tambun,ID,-6.2641,107.0712,90.9,63,100,3.74,overcast clouds
152,Codrington,AU,-38.2667,141.9667,67.41,53,100,11.92,overcast clouds
153,Miri,MY,4.4148,114.0089,86.38,61,100,1.43,overcast clouds
154,Kandi,BJ,11.1342,2.9386,81.93,57,100,6.67,overcast clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,74.86,79,0,8.99,clear sky
156,Ilam,NP,26.9167,87.9167,72.75,64,13,3.36,few clouds
157,Gushikawa,JP,26.3544,127.8686,66.2,88,75,9.22,light rain
158,Antropovo,RU,58.3988,43.0066,34.36,82,70,4.05,broken clouds
159,Baruun-Urt,MN,46.6806,113.2792,67.77,23,53,13.42,broken clouds
160,Iberia,US,29.9502,-91.7507,71.96,94,20,3.44,mist
161,Hithadhoo,MV,-0.6,73.0833,85.14,74,100,17.63,overcast clouds
162,Denpasar,ID,-8.65,115.2167,87.46,79,20,10.36,few clouds
163,Den Helder,NL,52.9599,4.7593,44.98,92,13,5.01,few clouds
164,Waingapu,ID,-9.6567,120.2641,86.88,64,33,15.55,scattered clouds
165,Mujiayingzi,CN,42.1167,118.7833,60.13,29,30,5.93,scattered clouds
166,Kavieng,PG,-2.5744,150.7967,83.71,76,25,9.1,light rain
167,Balikpapan,ID,-1.2675,116.8289,85.19,74,20,5.75,few clouds
168,Zaozerne,UA,45.1582,33.2787,48.9,73,4,9.75,clear sky
169,Lichuan,CN,30.3,108.85,58.24,56,66,5.5,broken clouds
170,Fortuna,US,40.5982,-124.1573,53.65,86,0,6.91,clear sky
171,Aquiraz,BR,-3.9014,-38.3911,78.89,89,91,8.55,overcast clouds
172,Biak,ID,-0.9131,122.8766,84.33,69,11,6.17,few clouds
173,Mazamari,PE,-11.3258,-74.5308,72.03,92,89,1.48,overcast clouds
174,Longyearbyen,SJ,78.2186,15.6401,10.24,72,75,4.61,broken clouds
175,Batemans Bay,AU,-35.7167,150.1833,65.1,47,4,6.04,clear sky
176,Taoudenni,ML,22.6783,-3.9836,75.7,26,13,9.51,few clouds
177,Saint-Francois,FR,46.4154,3.9054,39.67,93,0,0.0,clear sky
178,Rawah,IQ,34.4816,41.9093,66.63,66,0,14.07,clear sky
179,Matara,LK,5.9485,80.5353,83.89,78,97,11.77,overcast clouds
180,Raymond,US,43.9015,-70.4703,44.62,87,34,2.93,scattered clouds
181,Port Augusta,AU,-32.5,137.7667,71.35,33,0,5.79,clear sky
182,Qui Nhon,VN,13.7667,109.2333,77.07,91,100,11.07,overcast clouds
183,Dalby,AU,-27.1833,151.2667,75.92,46,20,12.3,few clouds
184,Ambon,ID,-3.6954,128.1814,89.74,66,40,2.3,scattered clouds
185,Sovetskaya Gavan,RU,48.9723,140.2878,39.65,71,100,11.56,overcast clouds
186,Vanino,RU,49.0869,140.2543,41.63,63,100,9.98,overcast clouds
187,Kloulklubed,PW,7.0419,134.2556,82.9,77,99,13.31,overcast clouds
188,Adrar,MR,20.5022,-10.0711,75.09,18,0,11.18,clear sky
189,Correntina,BR,-13.3433,-44.6367,74.1,54,95,4.07,overcast clouds
190,Millbrook,US,32.4799,-86.3619,68.32,94,0,0.0,clear sky
191,Vardo,NO,70.3705,31.1107,28.44,77,100,11.83,overcast clouds
192,Mackenzie,CA,55.2999,-123.1698,46.87,76,100,4.07,overcast clouds
193,Hazorasp,UZ,41.3194,61.0742,62.44,57,100,14.14,overcast clouds
194,Veseloyarsk,RU,51.2836,81.1056,69.49,43,100,15.95,overcast clouds
195,Sibu,MY,2.3,111.8167,86.45,73,69,2.44,broken clouds
196,Ostrovnoy,RU,68.0531,39.5131,17.92,91,69,7.67,broken clouds
197,Vostok,RU,46.4856,135.8833,45.36,49,96,5.01,light rain
198,Faanui,PF,-16.4833,-151.75,81.05,73,99,9.35,overcast clouds
199,Weil Der Stadt,DE,48.75,8.8667,46.22,91,62,1.03,broken clouds
200,Konza,KE,-1.7426,37.1294,57.18,99,50,2.8,scattered clouds
